tconst,parentTconst,seasonNumber,episodeNumber
tt28029340,tt0965404,6.0,25.0
tt28029343,tt15747704,,
tt28029346,tt21651048,2.0,5.0
tt2802936,tt1587669,3.0,10.0
tt2802940,tt1178692,,
tt2802944,tt1178692,,
tt2802946,tt2781594,1.0,16.0
tt28029462,tt1433870,15.0,30.0
tt28029463,tt15747704,,
tt28029464,tt28029089,1.0,1.0
tt28029466,tt28029089,1.0,2.0
tt28029469,tt28029089,1.0,3.0
tt28029474,tt28029089,1.0,4.0
tt2802948,tt2781594,1.0,17.0
tt28029481,tt8384738,1.0,303.0
tt28029485,tt27469947,1.0,1.0
tt28029488,tt27469947,1.0,2.0
tt28029489,tt27469947,1.0,3.0
tt28029490,tt18412104,,
tt28029493,tt28018784,1.0,1.0
tt2802950,tt1114745,7.0,88.0
tt28029500,tt14198162,,
tt28029501,tt15747704,,
tt28029503,tt27756857,1.0,1.0
tt28029504,tt27756857,1.0,2.0
tt28029505,tt27756857,1.0,3.0
tt28029506,tt27838394,1.0,19.0
tt2802952,tt1178692,,
tt2802954,tt1178692,,
