titleId,ordering,title,region,language,types,attributes,isOriginalTitle
tt13685232,2,The Limiñanas - Pink Flamingos,FR,,imdbDisplay,,0
tt13685234,1,Episode #9.90,,,original,,1
tt13685234,2,Episódio #9.90,PT,pt,,,0
tt13685234,3,एपिसोड #9.90,IN,hi,,,0
tt13685234,4,Épisode #9.90,FR,fr,,,0
tt13685234,5,Episodio #9.90,IT,it,,,0
tt13685234,6,Folge #9.90,DE,de,,,0
tt13685234,7,エピソード #9.90,JP,ja,,,0
tt13685234,8,Episodio #9.90,ES,es,,,0
tt13685236,1,Episode #9.91,,,original,,1
tt13685236,2,Episódio #9.91,PT,pt,,,0
tt13685236,3,एपिसोड #9.91,IN,hi,,,0
tt13685236,4,Épisode #9.91,FR,fr,,,0
tt13685236,5,Episodio #9.91,IT,it,,,0
tt13685236,6,Folge #9.91,DE,de,,,0
tt13685236,7,エピソード #9.91,JP,ja,,,0
tt13685236,8,Episodio #9.91,ES,es,,,0
tt1368524,1,Lavell Crawford/Rod Man/Alonzo Bodden/Scruncho,,,original,,1
tt13685240,1,Episode #9.92,,,original,,1
tt13685240,2,Episódio #9.92,PT,pt,,,0
tt13685240,3,एपिसोड #9.92,IN,hi,,,0
tt13685240,4,Épisode #9.92,FR,fr,,,0
tt13685240,5,Episodio #9.92,IT,it,,,0
tt13685240,6,Folge #9.92,DE,de,,,0
tt13685240,7,エピソード #9.92,JP,ja,,,0
tt13685240,8,Episodio #9.92,ES,es,,,0
tt13685242,1,Episode #9.93,,,original,,1
